ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[04.08.25][หมิว] ทดลองอ่านฟรี (Tried)",120234377222350260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[10.07.25][หมิว] หนังสือฮีลใจแห่งปี 2025 (Ghostly)",120232580239640260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[03.09.25][หมิว] ยังต้องยิ้ม ทั้งที่ใจพัง (Demons)",120236022321520260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[05.08.25][หมิว] อย่าคิดว่าตัวเองไปไม่ถึงไหน (Tried)",120234822737570260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[22.08.25][หมิว] Payday August 2 Box 999 (Promotion_Payday)",120235866972590260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.09.25][หมิว] แจกฟรี! วอลเปเปอร์ปีศาจ (Demons)",120236682514040260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.12.24] [หมิว] ขอให้พบกับความรักที่ไม่ผิดหวัง (ปีศาจความรัก)",120217668046870260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[05.08.25][หมิว] เตือนสติวัยทำงาน (Tried)",120234426673990260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[26.04.25][หมิว] จากนี้ขอมีชีวิตเพื่อตัวเองนะ (Kiwtum)",120227046018540260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[08.09.24] [หมิว] โปรลับบุฟเฟ่ต์ 9.9",120215399228280260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.11.24][หมิว] 11.11 จับคู่สุดคุ้ม travel kit (711)",120216956167500260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[14.08.25][หมิว] แจกฟรีวอลเปเปอร์ลายพิเศษ (Ghostly)",120234871908640260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[18.04.25][หมิว] ตามหาคนแอบรัก (Garden_Boxset)",120226177084920260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[23.07.25][หมิว] คำว่าโลกที่แบกไว้ (Tried)",120234397526510260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[25.12.24] [หมิว] เซตสวนแถมปฏิทิน (Garden_Boxset)",120218120047380260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.07.25][หมิว] ขอบคุณนักอ่าน (Ghostly) - 1",120232642365080260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[27.11.24] [หมิว] ของขวัญแด่คุณผู้แตกสลาย (โอบกอด)",120217381496200260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[03.10.25][หมิว] แถมวอลฟรี (Remains)",120237992539690260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.08.25][หมิว] ถ้าวันไหนไม่ไหว แวะมาอ่าน (Tried)",120234615487930260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[10.12.24] [หมิว] 5 สิ่งที่ควรขอบคุณในปี 2024 (Life)",120217674679860260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[25.10.24] [หมิว] แถมไดอารี่ (คาปิบาร่า_box set)",120216557349340260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.12.24] [หมิว] ปีใหม่นี้ 'ฉันจะมีชีวิตที่ดี' (Kidmakk)",120217996418870260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.12.24] [หมิว] บริหารเงินด้วยกฏ 50/30/20 (Million)",120217709032060260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.12.24] [หมิว] 12.12 เปิดตัวเล่มใหม่ (Million)",120217554812240260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[16.01.25][IMG][หมิว][Garden_เล่มเดี่ยว] ดอกไม้เล่มนี้จะช่วยฮีลใจ",120219203228920260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[23.12.24] [หมิว] ปีใหม่นี้ 'ฉันจะมีชีวิตที่ดี' (Kidmakk)",120218087368780260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.10.24] [หมิว] คาปิบาร่าบุกงานหนังสือ (คาปิบาร่า_box set)",120216222849550260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[29.07.25][หมิว] เหนื่อยเมื่อไหร่ให้คิดถึง (Tried)",120234005846900260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[30.05.25][หมิว] แรงบันดาลใจ จากความชอบ (Ghostly)",120229728633510260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[19.08.25][หมิว] May Your Heart (Witches)",120235185090030260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
